속성,StatID,Tag,StatGroupType,Stat:FlatDamage,Stat:MeleeDamageMin,Stat:MeleeDamageMax,Stat:SkillDamageMin,Stat:SkillDamageMax,Stat:HPMax,Stat:MPMax,Stat:SPMax,Stat:RPMax,Stat:HP,Stat:MP,Stat:SP,Stat:RP,Stat:STR,Stat:DEX,Stat:WIS,Stat:VIT,Stat:Armor,Stat:AttackHPVamp,Stat:F_AttackHPVampRate,Stat:F_AttackCostVamp,Stat:F_BeAttackedCostVamp,Stat:F_DamageAmp,Stat:F_HealAmp,Stat:F_BaseAttackInterval,Stat:F_MoveSpeed,Stat:F_MoveForce,Stat:F_AddAttackSpeed,Stat:F_AddMovementSpeed,Stat:F_HPRecoveryPerSec,Stat:F_CostRecoveryPerSec,Stat:F_HPRecoveryRatePerSec,Stat:F_CostRecoveryRatePerSec,Stat:F_Critical,Stat:F_CriticalDamageRate,Stat:F_SkillHaste,Stat:F_ExpAmp,Stat:F_DebuffMovementSpeed,Stat:F_AddHP,Stat:F_AddCost,Stat:F_AddHPRate,Stat:F_AddCostRate
b_0,1001,도적 (Level:1),Level,0,6,10,0,0,72,0,100,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6300,0,32000,0,0,0,0,30,200,1200,5000,0,0,0,0,0,0,0
b_0,1002,도적 (Level:2),Level,0,7,11,0,0,77,0,100,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6300,0,32000,0,0,0,0,30,200,1200,5000,0,0,0,0,0,0,0
b_0,1003,도적 (Level:3),Level,0,8,13,0,0,81,0,100,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,6300,0,32000,0,0,0,0,30,200,1200,5000,0,0,0,0,0,0,0
b_0,1004,도적 (Level:4),Level,0,9,14,0,0,86,0,100,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,6300,0,32000,0,0,0,0,30,200,1200,5000,0,0,0,0,0,0,0
b_0,1005,도적 (Level:5),Level,0,10,15,0,0,91,0,100,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,6300,0,32000,0,0,0,0,30,200,1200,5000,0,0,0,0,0,0,0
b_0,1006,도적 (Level:6),Level,0,10,17,0,0,97,0,100,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,6300,0,32000,0,0,0,0,30,200,1200,5000,0,0,0,0,0,0,0
b_0,1007,도적 (Level:7),Level,0,11,18,0,0,102,0,100,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,6300,0,32000,0,0,0,0,30,200,1200,5000,0,0,0,0,0,0,0
b_0,1008,도적 (Level:8),Level,0,12,19,0,0,109,0,100,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,6300,0,32000,0,0,0,0,30,200,1200,5000,0,0,0,0,0,0,0
b_0,1009,도적 (Level:9),Level,0,13,21,0,0,115,0,100,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,6300,0,32000,0,0,0,0,30,200,1200,5000,0,0,0,0,0,0,0
b_0,1010,도적 (Level:10),Level,0,14,22,0,0,122,0,100,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,6300,0,32000,0,0,0,0,30,200,1200,5000,0,0,0,0,0,0,0
