속성,AreaObjectID,Tag,Level,AreaObjectType,Health:Level,AggroType,HPLines,MonsterAiType,StartAiStateType,InitCondition,Sight,AreaObjectSizeType,MonsterSkillBagID,HasMultiPhases,MultiPhases,MonsterStatType,RewardBagIDs,RewardBagID,PowerCubeCount,BerserkID,LifeTime,InheritanceStatRate,AttackMotionCount,EffectScaleFactor,IsAggro,IsMultiRaidBoss,IsTrueBoss,ShakeOnHit,ShakeID,EnemyType,DeathEffectID,AreaName,AreaNickName,MonsterTitle,PrefabID,MainPrefab,PanelImage,UIHealthPath
b_0,101,아처 가디언,1,Guardian,1,Distance,1,Guardian,MonsterAttack,"""Except"",""Invincible""",7,Small,101,FALSE,,Guardian,,0,0,0,8,0.3,1,1,FALSE,FALSE,FALSE,TRUE,10,Summoner,,AreaObjectName_101,,,Summons_Snowman,SummonsSnowman,,
b_0,110,주술사 불토템,1,Guardian,1,Distance,1,Guardian,MonsterAttack,"""Except"",""Invincible""",6,Small,110,FALSE,,Guardian,,0,0,0,8,0.3,1,1,FALSE,FALSE,FALSE,TRUE,10,Summoner,,AreaObjectName_110,,,SummonsFireTotem,SummonsFireTotem,,
b_0,111,주술사 물토템,1,Guardian,1,Distance,1,Guardian,MonsterIdle,"""Except"",""Invincible""",6,Small,111,FALSE,,Guardian,,0,0,0,8,0.3,1,1,FALSE,FALSE,FALSE,TRUE,10,Summoner,,AreaObjectName_111,,,SummonsHealTotem,SummonsHealTotem,,
b_0,112,주술사 듀얼토템,1,Guardian,1,Distance,1,Guardian,AggroWait,"""Except"",""Invincible""",6,Small,112,FALSE,,Guardian,,0,0,0,8,0.3,1,1,FALSE,FALSE,FALSE,TRUE,10,Summoner,,AreaObjectName_112,,,SummonsDualTotem,SummonsDualTotem,,
b_0,120,주술사 궁극기 토템,1,Guardian,1,Distance,1,Guardian,AggroWait,"""Except"",""Invincible""",7,Small,120,FALSE,,Guardian,,0,0,0,8,0.3,1,1,FALSE,FALSE,FALSE,TRUE,10,Summoner,,AreaObjectName_120,,,SummonsRTotem,SummonsRTotem,,
b_0,9999,Rogue,1,RaidSupportNpc,1,Distance,1,RaidSupportNpc,DoNothing,"""Invincible""",100,Medium,0,FALSE,,NPC,,0,0,0,0,0,3,1,TRUE,FALSE,FALSE,FALSE,10,NormalMonster,,HeroName_Rogue,,,NPC_Quest_HeroAnnis,NPC_Quest_HeroAnnis,,
b_0,10000,허수아비,1,Monster,1,None,1,None,None,"""Invincible""",100,Medium,0,FALSE,,Balance,,0,0,0,0,0,1,1,FALSE,FALSE,FALSE,TRUE,10,NormalMonster,,AreaObjectName_10000,,,Monster_ExpDummy,ExpDummy,mob_10000,
b_0,10400,"슬라임 (초원, 1레벨)",1,Monster,1,Normal,1,Normal,MonsterWander,,15,Medium,10400,FALSE,,Balance,"""220300"",""2001""",2001,0,0,0,0,1,1,FALSE,FALSE,FALSE,TRUE,10,NormalMonster,60009,AreaObjectName_10400,,,Monster_WaterSlime_0,Monster_WaterSlime_0,mob_10400,
b_0,10401,"슬라임 (초원, 4레벨)",4,Monster,4,Normal,1,Normal,MonsterWander,,15,Medium,10401,FALSE,,Balance,"""220300"",""2004""",2004,0,0,0,0,1,1,FALSE,FALSE,FALSE,TRUE,10,NormalMonster,60009,AreaObjectName_10401,,,Monster_WaterSlime_1,Monster_WaterSlime_1,mob_10401,
b_0,10410,"슬라임 (초원, 8레벨)",8,Monster,8,Normal,1,Normal,MonsterWander,,15,Medium,10410,FALSE,,Balance,"""220300"",""2008""",2008,0,0,0,0,1,1,FALSE,FALSE,FALSE,TRUE,10,NormalMonster,60009,AreaObjectName_10410,,,Monster_WaterSlime_2,Monster_WaterSlime_2,mob_10410,
b_0,10411,꽃돼지 (10레벨),10,Monster,10,Normal,1,Normal,MonsterWander,,15,Medium,10411,FALSE,,Balance,"""220300"",""2010""",2010,0,0,0,0,2,1,FALSE,FALSE,FALSE,TRUE,10,NormalMonster,,AreaObjectName_10411,,,Monster_FlowerBoar_Grass_0,Monster_FlowerBoar_Grass_0,mob_10411,
b_0,10420,당근,5,Monster,5,Normal,1,Normal,MonsterWander,,15,Medium,10420,FALSE,,Balance,"""220300"",""2005""",2005,0,0,0,0,1,1,FALSE,FALSE,FALSE,TRUE,10,NormalMonster,,AreaObjectName_10420,,,Monster_Carrot_Grass_0,Monster_Carrot_Grass_0,mob_10420,
b_0,10421,무,7,Monster,7,Normal,1,Normal,MonsterWander,,15,Medium,10421,FALSE,,Balance,"""220300"",""2007""",2007,0,0,0,0,1,1,FALSE,FALSE,FALSE,TRUE,10,NormalMonster,,AreaObjectName_10421,,,Monster_Radish_Grass_0,Monster_Radish_Grass_0,mob_10421,
b_0,10430,꿀벌,20,Monster,20,Normal,1,Normal,MonsterWander,,15,Small,10430,FALSE,,Balance,"""220300"",""2020""",2020,0,0,0,0,1,1,FALSE,FALSE,FALSE,TRUE,10,NormalMonster,,AreaObjectName_10430,,,Monster_Bee_Grass_0,Monster_Bee_Grass_0,mob_10430,
b_0,10431,거대 꿀벌,21,Monster,21,NormalAnger,1,Normal,MonsterWander,,15,Medium,10431,FALSE,,Distance,"""220300"",""2021""",2021,0,0,0,0,1,1.3,TRUE,FALSE,FALSE,FALSE,10,NormalMonster,,AreaObjectName_10431,,,Monster_HoneyBee_Grass_0,Monster_HoneyBee_Grass_0,mob_10431,
b_0,10440,꽃돼지 (22레벨),22,Monster,22,Normal,1,Normal,MonsterWander,,15,Medium,10440,FALSE,,Balance,"""220300"",""2022""",2022,0,0,0,0,2,1,FALSE,FALSE,FALSE,TRUE,10,NormalMonster,,AreaObjectName_10440,,,Monster_FlowerBoar_Grass_1,Monster_FlowerBoar_Grass_1,mob_10440,
b_0,10441,멧돼지,25,Monster,25,NormalAnger,1,Normal,MonsterWander,,15,Medium,10441,FALSE,,BalancePower,"""220300"",""2025""",2025,0,0,0,0,1,1,TRUE,FALSE,FALSE,TRUE,10,NormalMonster,,AreaObjectName_10441,,,Monster_LittleBoar_Grass_0,Monster_LittleBoar_Grass_0,mob_10441,
b_0,10500,"독버섯 (17레벨, 선공)",17,Monster,17,NormalAnger,1,Normal,MonsterWander,,15,Small,10500,FALSE,,Balance,"""220500"",""2017""",2017,0,0,0,0,1,1,TRUE,FALSE,FALSE,TRUE,10,NormalMonster,,AreaObjectName_10500,,,Monster_Mushroom_Forest_1,Monster_Mushroom_Forest_1,mob_10500,
