속성,GoalID,Tag,GoalType,CommonIDs,CommonLevel,Count,IsLastGoal,ShowRewardPanel,QuestNotification,TalkID,NpcID,AreaID,PortalID,IsSendPacket,IsCountInfo,NextGoalID,IsReturnCloseTown
b_0,10,일일미션 1 - 일일미션 올 클리어,MissionDailyAllClear,0,0,1,TRUE,FALSE,GoalsNoti_10,,0,0,0,FALSE,TRUE,0,TRUE
b_0,20,일일미션 2 - 로그인,Login,0,0,1,TRUE,FALSE,GoalsNoti_20,,0,0,0,FALSE,TRUE,0,TRUE
b_0,30,일일미션 3 - 몬스터 사냥하기,AnyMonsterKill,0,0,100,TRUE,FALSE,GoalsNoti_30,,0,0,0,FALSE,TRUE,0,TRUE
b_0,40,일일미션 4 - 포션 사용하기,ItemUse,20101,0,50,TRUE,FALSE,GoalsNoti_40,,0,0,0,FALSE,TRUE,0,TRUE
b_0,50,일일미션 5 - 골드 사용하기,MoneyUse,0,0,2000,TRUE,FALSE,GoalsNoti_50,,0,0,0,FALSE,TRUE,0,TRUE
b_0,60,일일미션 6 - 솔로 레이드 클리어,RaidSuccessByGroupID,1,0,5,TRUE,FALSE,GoalsNoti_60,,0,0,0,FALSE,TRUE,0,TRUE
b_0,70,일일미션 7 - 멀티 레이드 클리어,RaidSuccessByGroupID,2,0,3,TRUE,FALSE,GoalsNoti_70,,0,0,0,FALSE,TRUE,0,TRUE
b_0,200,주간미션 1 - 주간미션 올 클리어,MissionWeeklyAllClear,0,0,1,TRUE,FALSE,GoalsNoti_200,,0,0,0,FALSE,TRUE,0,TRUE
b_0,210,주간미션 3 - 몬스터 사냥하기,AnyMonsterKill,0,0,1000,TRUE,FALSE,GoalsNoti_210,,0,0,0,FALSE,TRUE,0,TRUE
b_0,220,주간미션 4 - 아이템 강화하기,ItemEnchantSuccess,0,0,10,TRUE,FALSE,GoalsNoti_220,,0,0,0,FALSE,TRUE,0,TRUE
b_0,230,주간미션 5 - 골드 획득하기,MoneyGet,0,0,50000,TRUE,FALSE,GoalsNoti_230,,0,0,0,FALSE,TRUE,0,TRUE
