버전,RewardID,Tag,Tag_0,RewardType,Per,Probability,IsRandomAmount,Amount,AmountMax,ItemID,CurrencyID,PowerCubeID,Exp,TargetHeroClass,ItemTier,EquipSlotType,LootLookID,ImmediateEffectStatID,ShowSceneEvent,ShowResult,,,
b_0,100,일일미션 - 일일미션 올 클리어,골드,Money,,1000000,FALSE,15000,0,20102,1,0,0,Common,0,None,0,0,FALSE,FALSE,,,
b_0,101,일일미션 - 일일미션 올 클리어,젬,Gem,,1000000,FALSE,15000,0,0,4,0,0,Common,0,None,0,0,FALSE,FALSE,,,
b_0,200,일일미션 - 로그인,포션,Gem,,1000000,FALSE,700,0,20102,4,0,0,Common,0,None,0,0,FALSE,FALSE,,,
b_0,201,일일미션 - 로그인,골드,Money,,1000000,FALSE,1200,0,0,1,0,0,Common,0,None,0,0,FALSE,FALSE,,,
b_0,202,일일미션 - 로그인,이동스크롤,Item,,1000000,FALSE,5,0,20701,0,0,0,Common,0,None,0,0,FALSE,FALSE,,,
b_0,203,일일미션 - 로그인,전설스크롤,Item,,1000000,FALSE,5,0,20401,0,0,0,Common,0,None,0,0,FALSE,FALSE,,,
b_0,300,일일미션 - 몬스터 사냥,이동스크롤,Item,,1000000,FALSE,5,0,20701,0,0,0,Common,0,None,0,0,FALSE,FALSE,,,
b_0,301,일일미션 - 몬스터 사냥,전설스크롤,Item,,1000000,FALSE,5,0,20401,0,0,0,Common,0,None,0,0,FALSE,FALSE,,,
b_0,400,일일미션 - 포션 사용,포션,Gem,,1000000,FALSE,200,0,20102,4,0,0,Common,0,None,0,0,FALSE,FALSE,,,
b_0,401,일일미션 - 포션 사용,골드,Money,,1000000,FALSE,500,0,0,1,0,0,Common,0,None,0,0,FALSE,FALSE,,,
b_0,500,일일미션 - 골드 사용,포션,Gem,,1000000,FALSE,200,0,20102,4,0,0,Common,0,None,0,0,FALSE,FALSE,,,
b_0,501,일일미션 - 골드 사용,골드,Money,,1000000,FALSE,500,0,0,1,0,0,Common,0,None,0,0,FALSE,FALSE,,,
