속성,ItemID,Memo,Tag,Tag0,Tag1,Tag2,Tag3,ItemExID,ItemTier,HeroClassTypeList,PowerStatType,EquipSlotType,ItemCategoryType,LootCategoryType,InventoryTabType,GradeType,StackMax,IsStackable,IsConsumable,IsEquipment,IsEnchant,IsLegendEnchant,IsGrowth,IsDurable,DurabilityMax,PotionType,StatID,ItemEnchantGroupID,ItemGrowthGroupID,EnchantCountMax,GrowthLevelMax,ItemName,AutoUse,IsQuickSlot,ItemCoolTimeType,LevelLimit,GradeStar,ItemDescLanguageID,ImagePath,BuyCurrencyType,BuyPrice,SellPrice,IsUnsellable,Enchanceprice,UIMainStatType,IsAlchemy,AlchemyValue,IconType,CurrencyImagePath,UseSoundID,ClassShopIcon,ClassText
b_0,9000,,신비 단검,,,,,0,100,"""Rogue""",Melee,WeaponHold,Equipment,Weapon,Equipment,Grade_BM,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,10,None,9900000,10600,10100,40,50,ItemName_9000,FALSE,FALSE,None,1,★★★★★,ItemDesc_BMGear,bm_501000,Gem,1500,0,FALSE,100,MeleeDamageMax,FALSE,0,icon_stats_atk,icon_gem,,classSquare_Special,
b_0,9001,,신비 도끼,,,,,0,100,"""Warrior""",Melee,WeaponHold,Equipment,Weapon,Equipment,Grade_BM,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,10,None,9900100,10600,10100,40,50,ItemName_9001,FALSE,FALSE,None,1,★★★★★,ItemDesc_BMGear,bm_501200,Gem,1500,0,FALSE,100,MeleeDamageMax,FALSE,0,icon_stats_atk,icon_gem,,classSquare_Guard,
b_0,9002,,신비 마법봉,,,,,0,100,"""Mage""",Skill,WeaponHold,Equipment,Weapon,Equipment,Grade_BM,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,10,None,9900200,20600,10200,40,50,ItemName_9002,FALSE,FALSE,None,1,★★★★★,ItemDesc_BMGear,bm_501400,Gem,1500,0,FALSE,100,SkillDamageMax,FALSE,0,icon_stats_atk,icon_gem,,classSquare_Magic,
b_0,9003,,신비 활,,,,,0,100,"""Archer""",Melee,WeaponHold,Equipment,Weapon,Equipment,Grade_BM,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,10,None,9900300,10600,10100,40,50,ItemName_9003,FALSE,FALSE,None,1,★★★★★,ItemDesc_BMGear,bm_501500,Gem,1500,0,FALSE,100,MeleeDamageMax,FALSE,0,icon_stats_atk,icon_gem,,classSquare_Special,
b_0,9004,,신비 대검,,,,,0,100,"""Berserker""",Melee,WeaponHold,Equipment,Weapon,Equipment,Grade_BM,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,10,None,9900400,10600,10100,40,50,ItemName_9004,FALSE,FALSE,None,1,★★★★★,ItemDesc_BMGear,bm_501600,Gem,1500,0,FALSE,100,MeleeDamageMax,FALSE,0,icon_stats_atk,icon_gem,,classSquare_Attack,
b_0,9005,,신비 마법서,,,,,0,100,"""Warlock""",Skill,WeaponHold,Equipment,Weapon,Equipment,Grade_BM,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,10,None,9900500,20600,10200,40,50,ItemName_9005,FALSE,FALSE,None,1,★★★★★,ItemDesc_BMGear,bm_501700,Gem,1500,0,FALSE,100,SkillDamageMax,FALSE,0,icon_stats_atk,icon_gem,,classSquare_Magic,
b_0,9006,,신비 목장,,,,,0,100,"""Priest""",Melee,WeaponHold,Equipment,Weapon,Equipment,Grade_BM,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,10,None,9900500,20600,10200,40,50,ItemName_9006,FALSE,FALSE,None,1,★★★★★,ItemDesc_BMGear,WeaponHold_1904,Gem,1500,0,FALSE,100,SkillDamageMax,FALSE,0,icon_stats_atk,icon_gem,,classSquare_Magic,
b_0,9007,,신비 도검,,,,,0,100,"""MagicalSwordman""",Melee,WeaponHold,Equipment,Weapon,Equipment,Grade_BM,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,10,None,9900400,10600,10100,40,50,ItemName_9007,FALSE,FALSE,None,1,★★★★★,ItemDesc_BMGear,WeaponHold_1304,Gem,1500,0,FALSE,100,MeleeDamageMax,FALSE,0,icon_stats_atk,icon_gem,,classSquare_Attack,
b_0,9008,,신비 망치,,,,,0,100,"""Shaman""",Skill,WeaponHold,Equipment,Weapon,Equipment,Grade_BM,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,10,None,9900500,20600,10200,40,50,ItemName_9008,FALSE,FALSE,None,1,★★★★★,ItemDesc_BMGear,WeaponHold_1104,Gem,1500,0,FALSE,100,SkillDamageMax,FALSE,0,icon_stats_atk,icon_gem,,classSquare_Magic,
b_0,9009,,신비 총,,,,,0,100,"""Gunner""",Melee,WeaponHold,Equipment,Weapon,Equipment,Grade_BM,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,10,None,9900400,10600,10100,40,50,ItemName_9009,FALSE,FALSE,None,1,★★★★★,ItemDesc_BMGear,WeaponHold_2004,Gem,1500,0,FALSE,100,MeleeDamageMax,FALSE,0,icon_stats_atk,icon_gem,,classSquare_Attack,
