속성,TempID,RaidID,Tag,Level,Difficulty,IsExpandKey,ExpandLevel,CommonGimmickIDs,PlayerScalingStatIDs,MonsterScalingStatIDs,SetPlayerScalingLevel,AddMonsterScalingLevel,AddNpcScalingLevel,RecommendPower,AreaID,FirstClearRewardBagID,RewardBagID,WaitForBattle,ResetHealthToEnter,ResetHealthToClear,CommonDeath,RecommendCountName,StarImageCount
b_0,1,1,초급 초원 1단계,1,Easy,TRUE,5,0,0,0,0,2,0,355,40000,500200,500100,FALSE,TRUE,TRUE,1,RaidRecommendCount_1,1
b_0,2,1,초급 초원 2단계,2,Easy,FALSE,5,0,0,0,0,2,0,373,40001,0,500100,FALSE,TRUE,TRUE,1,RaidRecommendCount_1,1
b_0,3,1,초급 초원 3단계,3,Easy,FALSE,5,0,0,0,0,3,0,392,40002,0,500100,FALSE,TRUE,TRUE,1,RaidRecommendCount_1,1
b_0,4,1,초급 초원 4단계,4,Easy,FALSE,5,10002,0,0,0,3,0,412,40003,0,500100,FALSE,TRUE,TRUE,1,RaidRecommendCount_1,1
b_0,5,1,초급 초원 5단계,5,Easy,TRUE,10,0,0,0,0,3,0,433,40004,500200,500100,FALSE,TRUE,TRUE,1,RaidRecommendCount_1,1
b_0,6,1,초급 초원 6단계,6,Easy,FALSE,10,0,0,0,0,3,0,455,40005,0,500100,FALSE,TRUE,TRUE,1,RaidRecommendCount_1,1
b_0,7,1,초급 초원 7단계,7,Easy,FALSE,10,10003,0,0,0,4,0,478,40006,0,500100,FALSE,TRUE,TRUE,1,RaidRecommendCount_1,1
b_0,8,1,초급 초원 8단계,8,Easy,FALSE,10,0,0,0,0,4,0,502,40007,0,500100,FALSE,TRUE,TRUE,1,RaidRecommendCount_1,1
b_0,9,1,초급 초원 9단계,9,Easy,FALSE,10,10003,0,3006,0,4,0,528,40008,0,500100,FALSE,TRUE,TRUE,1,RaidRecommendCount_1,1
b_0,10,1,초급 초원 10단계,10,Easy,FALSE,15,0,0,0,0,4,0,555,40009,500200,500100,FALSE,TRUE,TRUE,1,RaidRecommendCount_1,1
b_0,11,1,초급 초원 11단계,11,Easy,FALSE,15,0,0,0,0,5,0,583,40010,0,500100,FALSE,TRUE,TRUE,1,RaidRecommendCount_1,1
b_0,12,1,초급 초원 12단계,12,Easy,FALSE,15,10004,0,0,0,6,0,613,40011,0,500100,FALSE,TRUE,TRUE,1,RaidRecommendCount_1,1
b_0,13,1,초급 초원 13단계,13,Easy,FALSE,15,0,0,0,0,7,0,644,40012,0,500100,FALSE,TRUE,TRUE,1,RaidRecommendCount_1,1
b_0,14,1,초급 초원 14단계,14,Easy,FALSE,15,10004,0,2030,0,8,0,677,40013,0,500100,FALSE,TRUE,TRUE,1,RaidRecommendCount_1,1
b_0,15,1,초급 초원 15단계,15,Easy,FALSE,20,0,0,0,0,9,0,711,40014,500200,500100,FALSE,TRUE,TRUE,1,RaidRecommendCount_1,1
